Image Index,points_left_lung,points_right_lung
00000013_005.png,"[(373, 171), (298, 234), (238, 314), (212, 387), (179, 534), (156, 744), (142, 862), (149, 978), (166, 998), (198, 900), (237, 849), (289, 831), (337, 813), (359, 749), (351, 692), (377, 645), (398, 583), (440, 529), (474, 469), (468, 395), (472, 334), (482, 258), (472, 214), (430, 178), (400, 169)]","[(579, 172), (671, 139), (761, 190), (807, 253), (835, 309), (896, 507), (944, 730), (962, 868), (961, 993), (946, 1023), (906, 1003), (843, 935), (758, 906), (698, 911), (729, 872), (762, 826), (746, 773), (728, 693), (702, 651), (683, 608), (664, 549), (641, 493), (631, 455), (629, 411), (627, 368), (592, 349), (568, 203), (576, 181)]"
00000013_026.png,"[(218, 1016), (211, 880), (198, 710), (209, 578), (229, 444), (249, 342), (286, 268), (321, 200), (381, 171), (435, 189), (473, 206), (488, 232), (491, 288), (497, 374), (498, 444), (488, 508), (452, 560), (421, 612), (401, 666), (392, 749), (416, 833), (452, 897), (484, 928), (458, 938), (424, 919), (381, 885), (343, 880), (307, 908), (274, 948), (261, 980), (246, 1011)]","[(646, 431), (649, 366), (617, 306), (593, 262), (593, 178), (630, 135), (686, 152), (739, 189), (794, 227), (830, 281), (864, 387), (886, 457), (913, 544), (949, 711), (970, 837), (976, 900), (978, 970), (974, 1010), (956, 1016), (920, 952), (884, 926), (831, 933), (775, 948), (728, 940), (681, 915), (667, 863), (737, 880), (783, 895), (825, 895), (842, 870), (838, 817), (836, 777), (817, 692), (777, 608), (735, 557), (696, 506), (654, 453)]"
00000017_001.png,"[(112, 842), (165, 812), (228, 770), (298, 738), (309, 721), (329, 622), (352, 534), (388, 471), (416, 446), (419, 376), (428, 298), (431, 239), (437, 188), (427, 148), (368, 131), (303, 151), (244, 214), (195, 296), (171, 381), (141, 477), (118, 609), (107, 711), (107, 783), (106, 831)]","[(532, 300), (586, 317), (611, 362), (607, 393), (576, 409), (562, 445), (562, 502), (573, 568), (620, 633), (650, 654), (704, 702), (741, 747), (759, 826), (780, 847), (812, 847), (862, 868), (894, 893), (915, 926), (914, 906), (917, 860), (922, 801), (892, 658), (872, 557), (847, 379), (814, 269), (755, 204), (665, 125), (609, 104), (557, 130), (519, 195), (519, 255), (532, 295)]"
00000030_001.png,"[(494, 749), (494, 673), (479, 532), (505, 388), (524, 325), (524, 247), (507, 190), (464, 144), (388, 132), (322, 137), (231, 207), (202, 306), (197, 383), (188, 487), (191, 554), (185, 633), (169, 691), (169, 729), (164, 774), (151, 823), (160, 871), (174, 904), (204, 863), (225, 825), (243, 815), (284, 772), (321, 764), (393, 766), (434, 786), (464, 786), (499, 767)]","[(792, 763), (758, 692), (684, 632), (624, 576), (602, 543), (591, 471), (589, 420), (611, 397), (638, 375), (615, 336), (577, 323), (576, 271), (582, 210), (629, 152), (698, 127), (759, 133), (791, 157), (827, 199), (855, 252), (861, 361), (867, 495), (868, 588), (892, 644), (919, 731), (939, 794), (946, 848), (913, 816), (879, 782), (812, 775), (794, 775)]"
00000032_001.png,"[(293, 85), (246, 131), (202, 201), (177, 261), (149, 351), (134, 458), (127, 526), (124, 589), (120, 634), (120, 688), (117, 696), (125, 725), (145, 753), (182, 756), (351, 759), (415, 696), (433, 651), (433, 579), (430, 486), (437, 398), (444, 361), (453, 257), (464, 209), (471, 166), (472, 105), (395, 50), (351, 43), (290, 77)]","[(542, 121), (607, 106), (664, 128), (696, 174), (711, 205), (739, 326), (747, 391), (751, 484), (749, 576), (730, 694), (739, 727), (679, 714), (631, 708), (587, 707), (556, 701), (520, 639), (498, 540), (531, 442), (538, 403), (577, 349), (580, 315), (562, 268), (549, 215), (542, 164), (542, 145)]"
00000040_003.png,"[(88, 938), (122, 906), (158, 853), (224, 822), (289, 791), (340, 747), (370, 690), (385, 630), (394, 568), (438, 503), (459, 422), (470, 340), (477, 274), (482, 205), (489, 141), (455, 67), (399, 19), (295, 13), (193, 72), (134, 231), (95, 456), (95, 604), (95, 756), (64, 897), (66, 964)]","[(698, 692), (631, 584), (596, 508), (583, 408), (583, 351), (603, 299), (569, 256), (555, 198), (564, 123), (580, 51), (637, 17), (712, 20), (820, 80), (844, 163), (875, 303), (896, 457), (901, 571), (883, 662), (883, 748), (893, 825), (893, 937), (890, 991), (878, 1017), (847, 968), (819, 929), (782, 874), (744, 828), (715, 779), (700, 713)]"
00000042_002.png,"[(169, 898), (201, 824), (272, 790), (346, 786), (379, 784), (425, 781), (429, 760), (439, 744), (442, 728), (428, 701), (415, 619), (413, 559), (414, 501), (441, 427), (456, 380), (481, 332), (498, 257), (502, 156), (504, 104), (498, 45), (448, 18), (380, 42), (340, 91), (284, 151), (257, 236), (215, 337), (198, 407), (179, 489), (164, 556), (160, 642), (155, 716), (144, 815), (151, 879), (162, 901)]","[(900, 944), (912, 845), (906, 725), (868, 521), (834, 322), (805, 210), (736, 80), (679, 44), (639, 36), (573, 67), (535, 110), (543, 180), (577, 229), (611, 251), (606, 288), (581, 321), (572, 366), (570, 413), (574, 517), (611, 574), (641, 616), (692, 664), (720, 713), (723, 756), (663, 794), (635, 805), (633, 806), (672, 820), (751, 824), (827, 845), (868, 876), (885, 920)]"
00000057_001.png,"[(143, 720), (187, 683), (315, 651), (363, 682), (398, 698), (422, 665), (424, 588), (426, 501), (430, 441), (439, 339), (454, 284), (469, 219), (454, 150), (412, 91), (343, 99), (273, 149), (209, 251), (170, 320), (150, 401), (140, 483), (130, 573), (130, 640), (131, 682)]","[(503, 276), (519, 193), (547, 130), (583, 125), (636, 150), (686, 194), (726, 246), (767, 313), (812, 438), (841, 526), (846, 656), (852, 722), (849, 741), (805, 700), (781, 658), (752, 604), (673, 558), (623, 464), (614, 430), (597, 379), (597, 326), (574, 269), (556, 266), (512, 276)]"
00000061_002.png,"[(174, 313), (232, 209), (285, 159), (362, 154), (425, 169), (475, 226), (482, 283), (482, 349), (466, 423), (449, 480), (422, 555), (405, 609), (365, 662), (342, 811), (275, 782), (214, 745), (163, 739), (127, 729), (97, 713), (101, 633), (112, 587), (134, 519), (165, 390), (174, 351), (174, 324)]","[(557, 301), (574, 214), (630, 183), (720, 188), (770, 217), (819, 251), (856, 332), (897, 474), (918, 633), (931, 784), (938, 838), (915, 947), (859, 902), (756, 834), (699, 821), (667, 816), (650, 784), (698, 772), (723, 761), (731, 727), (724, 667), (673, 599), (654, 567), (612, 493), (595, 451), (581, 423), (580, 396), (608, 350), (598, 332), (570, 308)]"
00000061_019.png,"[(482, 665), (571, 688), (633, 808), (678, 877), (754, 999), (781, 953), (803, 814), (790, 666), (797, 570), (795, 385), (759, 267), (720, 183), (660, 117), (601, 85), (556, 54), (518, 39), (486, 123), (483, 300), (490, 341), (502, 575), (494, 653)]","[(326, 715), (235, 671), (153, 636), (95, 589), (63, 519), (40, 414), (56, 330), (88, 228), (131, 157), (166, 94), (217, 55), (290, 48), (395, 48), (405, 66), (407, 173), (407, 237), (405, 277), (369, 460), (360, 563), (345, 655), (341, 700)]"
